shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_136_1,26.1511,127.79845,10001
shapes_136_1,26.1511,127.79846,10002
shapes_136_1,26.15135,127.79862,10003
shapes_136_1,26.15153,127.79887,10004
shapes_136_1,26.15204,127.79969,10005
shapes_136_1,26.15239,127.8003,10006
shapes_136_1,26.15274,127.8009,10007
shapes_136_1,26.15284,127.80112,10008
shapes_136_1,26.15173,127.7992,20001
shapes_136_1,26.15204,127.79969,20002
shapes_136_1,26.15239,127.8003,20003
shapes_136_1,26.15269,127.80081,20004
shapes_136_1,26.15269,127.80081,30001
shapes_136_1,26.15274,127.8009,30002
shapes_136_1,26.15286,127.80117,30003
shapes_136_1,26.1529,127.80142,30004
shapes_136_1,26.1529,127.80175,30005
shapes_136_1,26.15293,127.80201,30006
shapes_136_1,26.15299,127.80221,30007
shapes_136_1,26.15322,127.80248,30008
shapes_136_1,26.15341,127.80264,30009
shapes_136_1,26.15365,127.80282,30010
shapes_136_1,26.15384,127.80308,30011
shapes_136_1,26.15389,127.80321,30012
shapes_136_1,26.15408,127.80388,30013
shapes_136_1,26.15416,127.80412,30014
shapes_136_1,26.15426,127.80432,30015
shapes_136_1,26.15462,127.80467,30016
shapes_136_1,26.1549,127.80495,30017
shapes_136_1,26.15284,127.80112,40001
shapes_136_1,26.15286,127.80117,40002
shapes_136_1,26.1529,127.80142,40003
shapes_136_1,26.1529,127.80175,40004
shapes_136_1,26.15293,127.80201,40005
shapes_136_1,26.15299,127.80221,40006
shapes_136_1,26.15322,127.80248,40007
shapes_136_1,26.15341,127.80264,40008
shapes_136_1,26.15365,127.80282,40009
shapes_136_1,26.15384,127.80308,40010
shapes_136_1,26.15389,127.80321,40011
shapes_136_1,26.15408,127.80388,40012
shapes_136_1,26.15416,127.80412,40013
shapes_136_1,26.15426,127.80432,40014
shapes_136_1,26.15462,127.80467,40015
shapes_136_1,26.15503,127.80509,40016
shapes_136_1,26.1549,127.80495,50001
shapes_136_1,26.15506,127.80511,50002
shapes_136_1,26.15538,127.80542,50003
shapes_136_1,26.15571,127.80568,50004
shapes_136_1,26.15637,127.80602,50005
shapes_136_1,26.15648,127.80625,50006
shapes_136_1,26.15649,127.80647,50007
shapes_136_1,26.1564,127.80669,50008
shapes_136_1,26.15582,127.80679,50009
shapes_136_1,26.15566,127.80692,50010
shapes_136_1,26.15553,127.80716,50011
shapes_136_1,26.1558,127.80872,50012
shapes_136_1,26.15572,127.80903,50013
shapes_136_1,26.15567,127.80915,50014
shapes_136_1,26.15564,127.80923,50015
shapes_136_1,26.15572,127.8094,50016
shapes_136_1,26.15584,127.8095,50017
shapes_136_1,26.15611,127.80963,50018
shapes_136_1,26.15503,127.80509,60001
shapes_136_1,26.15506,127.80511,60002
shapes_136_1,26.15538,127.80542,60003
shapes_136_1,26.15571,127.80568,60004
shapes_136_1,26.15637,127.80602,60005
shapes_136_1,26.15648,127.80625,60006
shapes_136_1,26.15649,127.80647,60007
shapes_136_1,26.1564,127.80669,60008
shapes_136_1,26.15582,127.80679,60009
shapes_136_1,26.15566,127.80692,60010
shapes_136_1,26.15553,127.80716,60011
shapes_136_1,26.1558,127.80872,60012
shapes_136_1,26.15572,127.80903,60013
shapes_136_1,26.15567,127.80915,60014
shapes_136_1,26.15564,127.80923,60015
shapes_136_1,26.15572,127.8094,60016
shapes_136_1,26.15584,127.8095,60017
shapes_136_1,26.15611,127.80962,60018
shapes_136_1,26.15611,127.80963,70001
shapes_136_1,26.1562,127.80967,70002
shapes_136_1,26.15632,127.80973,70003
shapes_136_1,26.15671,127.81023,70004
shapes_136_1,26.15691,127.81033,70005
shapes_136_1,26.15709,127.81031,70006
shapes_136_1,26.15759,127.80996,70007
shapes_136_1,26.15778,127.8099,70008
shapes_136_1,26.15785,127.80992,70009
shapes_136_1,26.15841,127.81048,70010
shapes_136_1,26.1585,127.81069,70011
shapes_136_1,26.15862,127.81175,70012
shapes_136_1,26.15876,127.81222,70013
shapes_136_1,26.15867,127.81275,70014
shapes_136_1,26.15868,127.81286,70015
shapes_136_1,26.15877,127.81307,70016
shapes_136_1,26.15912,127.81343,70017
shapes_136_1,26.15611,127.80963,80001
shapes_136_1,26.1562,127.80967,80002
shapes_136_1,26.15632,127.80973,80003
shapes_136_1,26.15671,127.81023,80004
shapes_136_1,26.15691,127.81033,80005
shapes_136_1,26.15709,127.81031,80006
shapes_136_1,26.15759,127.80996,80007
shapes_136_1,26.15778,127.8099,80008
shapes_136_1,26.15785,127.80992,80009
shapes_136_1,26.15841,127.81048,80010
shapes_136_1,26.1585,127.81069,80011
shapes_136_1,26.15862,127.81175,80012
shapes_136_1,26.15876,127.81222,80013
shapes_136_1,26.15867,127.81275,80014
shapes_136_1,26.15868,127.81286,80015
shapes_136_1,26.15877,127.81307,80016
shapes_136_1,26.15912,127.81343,80017
shapes_136_1,26.15912,127.81343,90001
shapes_136_1,26.15923,127.81355,90002
shapes_136_1,26.15931,127.81364,90003
shapes_136_1,26.15947,127.8138,90004
shapes_136_1,26.15961,127.8139,90005
shapes_136_1,26.16044,127.81432,90006
shapes_136_1,26.16075,127.81471,90007
shapes_136_1,26.1608,127.81479,90008
shapes_136_1,26.16084,127.81487,90009
shapes_136_1,26.15923,127.81355,100001
shapes_136_1,26.15923,127.81355,100002
shapes_136_1,26.15931,127.81364,100003
shapes_136_1,26.15947,127.8138,100004
shapes_136_1,26.15961,127.8139,100005
shapes_136_1,26.16044,127.81432,100006
shapes_136_1,26.16075,127.81471,100007
shapes_136_1,26.1608,127.81479,100008
shapes_136_1,26.16087,127.81492,100009
shapes_136_1,26.16084,127.81487,110001
shapes_136_1,26.16095,127.81505,110002
shapes_136_1,26.16118,127.81545,110003
shapes_136_1,26.16135,127.81564,110004
shapes_136_1,26.16178,127.81668,110005
shapes_136_1,26.16207,127.81721,110006
shapes_136_1,26.16216,127.81734,110007
shapes_136_1,26.16233,127.81749,110008
shapes_136_1,26.16286,127.81782,110009
shapes_136_1,26.16334,127.81831,110010
shapes_136_1,26.16357,127.81854,110011
shapes_136_1,26.16369,127.8186,110012
shapes_136_1,26.16384,127.81863,110013
shapes_136_1,26.16395,127.81862,110014
shapes_136_1,26.16438,127.81853,110015
shapes_136_1,26.16467,127.81847,110016
shapes_136_1,26.16087,127.81492,120001
shapes_136_1,26.16095,127.81505,120002
shapes_136_1,26.16118,127.81545,120003
shapes_136_1,26.16135,127.81564,120004
shapes_136_1,26.16178,127.81668,120005
shapes_136_1,26.16207,127.81721,120006
shapes_136_1,26.16216,127.81734,120007
shapes_136_1,26.16233,127.81749,120008
shapes_136_1,26.16286,127.81782,120009
shapes_136_1,26.16334,127.81831,120010
shapes_136_1,26.16357,127.81854,120011
shapes_136_1,26.16369,127.8186,120012
shapes_136_1,26.16384,127.81863,120013
shapes_136_1,26.16395,127.81862,120014
shapes_136_1,26.16438,127.81853,120015
shapes_136_1,26.16487,127.81844,120016
shapes_136_1,26.16493,127.81843,120017
shapes_136_1,26.16467,127.81847,130001
shapes_136_1,26.16487,127.81844,130002
shapes_136_1,26.16552,127.81837,130003
shapes_136_1,26.1661,127.81838,130004
shapes_136_1,26.16691,127.81848,130005
shapes_136_1,26.1684,127.81787,130006
shapes_136_1,26.16864,127.81783,130007
shapes_136_1,26.16891,127.81794,130008
shapes_136_1,26.16949,127.81839,130009
shapes_136_1,26.16956,127.81845,130010
shapes_136_1,26.17,127.81888,130011
shapes_136_1,26.17013,127.81903,130012
shapes_136_1,26.17021,127.81916,130013
shapes_136_1,26.17025,127.81931,130014
shapes_136_1,26.17023,127.81944,130015
shapes_136_1,26.17017,127.81964,130016
shapes_136_1,26.16977,127.82062,130017
shapes_136_1,26.16975,127.82069,130018
shapes_136_1,26.16493,127.81843,140001
shapes_136_1,26.16552,127.81837,140002
shapes_136_1,26.1661,127.81838,140003
shapes_136_1,26.16691,127.81848,140004
shapes_136_1,26.1684,127.81787,140005
shapes_136_1,26.16864,127.81783,140006
shapes_136_1,26.16891,127.81794,140007
shapes_136_1,26.16949,127.81839,140008
shapes_136_1,26.16956,127.81845,140009
shapes_136_1,26.17,127.81888,140010
shapes_136_1,26.17013,127.81903,140011
shapes_136_1,26.17021,127.81916,140012
shapes_136_1,26.17025,127.81931,140013
shapes_136_1,26.17023,127.81944,140014
shapes_136_1,26.17017,127.81964,140015
shapes_136_1,26.16977,127.82062,140016
shapes_136_1,26.16975,127.82068,140017
shapes_136_1,26.16975,127.82069,150001
shapes_136_1,26.16968,127.82089,150002
shapes_136_1,26.16954,127.82137,150003
shapes_136_1,26.16951,127.82156,150004
shapes_136_1,26.16952,127.82161,150005
shapes_136_1,26.16954,127.8217,150006
shapes_136_1,26.16969,127.82207,150007
shapes_136_1,26.1697,127.82209,150008
shapes_136_1,26.16975,127.82069,160001
shapes_136_1,26.16968,127.82089,160002
shapes_136_1,26.16954,127.82137,160003
shapes_136_1,26.16951,127.82156,160004
shapes_136_1,26.16952,127.82161,160005
shapes_136_1,26.16954,127.8217,160006
shapes_136_1,26.16969,127.82207,160007
shapes_136_1,26.1697,127.82209,160008
shapes_136_1,26.1697,127.82209,170001
shapes_136_1,26.16977,127.82231,170002
shapes_136_1,26.1698,127.82252,170003
shapes_136_1,26.16979,127.82262,170004
shapes_136_1,26.16977,127.8227,170005
shapes_136_1,26.16973,127.82277,170006
shapes_136_1,26.16942,127.82318,170007
shapes_136_1,26.16915,127.82352,170008
shapes_136_1,26.16906,127.82366,170009
shapes_136_1,26.16902,127.82379,170010
shapes_136_1,26.169,127.82393,170011
shapes_136_1,26.16903,127.82407,170012
shapes_136_1,26.16921,127.82446,170013
shapes_136_1,26.16923,127.82456,170014
shapes_136_1,26.16922,127.82466,170015
shapes_136_1,26.1692,127.82478,170016
shapes_136_1,26.16912,127.82508,170017
shapes_136_1,26.16975,127.82225,180001
shapes_136_1,26.16977,127.82231,180002
shapes_136_1,26.1698,127.82252,180003
shapes_136_1,26.16979,127.82262,180004
shapes_136_1,26.16977,127.8227,180005
shapes_136_1,26.16973,127.82277,180006
shapes_136_1,26.16942,127.82318,180007
shapes_136_1,26.16915,127.82352,180008
shapes_136_1,26.16906,127.82366,180009
shapes_136_1,26.16902,127.82379,180010
shapes_136_1,26.169,127.82393,180011
shapes_136_1,26.16903,127.82407,180012
shapes_136_1,26.16921,127.82446,180013
shapes_136_1,26.16923,127.82456,180014
shapes_136_1,26.16922,127.82466,180015
shapes_136_1,26.1692,127.82478,180016
shapes_136_1,26.16912,127.82508,180017
shapes_136_1,26.16912,127.82508,190001
shapes_136_1,26.16898,127.82562,190002
shapes_136_1,26.16895,127.82582,190003
shapes_136_1,26.16893,127.82603,190004
shapes_136_1,26.16896,127.8262,190005
shapes_136_1,26.16904,127.82634,190006
shapes_136_1,26.16914,127.82643,190007
shapes_136_1,26.16928,127.82649,190008
shapes_136_1,26.16941,127.82651,190009
shapes_136_1,26.16976,127.82648,190010
shapes_136_1,26.17021,127.82661,190011
shapes_136_1,26.17029,127.82666,190012
shapes_136_1,26.17039,127.82675,190013
